run_name,subset,top_k,num_features,model_family,model_variant,accuracy,balanced_accuracy,macro_f1,sensitivity,specificity,precision,auroc,auprc,language_code,language,ranking_method,ranking_description,tested_features,bonferroni_significant_features,fdr_significant_features
language_zh_all_rich,all_universal,5,5,rf,n200,0.55,0.4871794871794871,0.4871794871794871,0.3076923076923077,0.6666666666666666,0.3076923076923077,0.6442307692307693,0.4155685887331635,zh,Chinese,anova,"ANOVA f_classif, ranked by f_score",,,
language_el_all_rich,all_universal,all,192,rf,n200,0.8333333333333334,0.8035714285714286,0.8089668615984404,0.8928571428571429,0.7142857142857143,0.8620689655172413,0.9056122448979592,0.9569944948723164,el,Greek,anova,"ANOVA f_classif, ranked by f_score",,,
language_el_all_rich,all_universal,5,5,lr,c1,0.8333333333333334,0.8214285714285714,0.8156739811912226,0.8571428571428571,0.7857142857142857,0.8888888888888888,0.8520408163265306,0.9135644700739336,el,Greek,anova,"ANOVA f_classif, ranked by f_score",,,
language_el_all_rich,all_universal,100,100,rf,n200,0.8095238095238095,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8864795918367347,0.9423764488131796,el,Greek,anova,"ANOVA f_classif, ranked by f_score",,,
language_el_all_rich,all_universal,5,5,svm,linear_c1,0.8095238095238095,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.8724489795918366,0.9187268218309056,el,Greek,anova,"ANOVA f_classif, ranked by f_score",,,
language_el_all_rich,all_universal,100,100,dt,depth20,0.8095238095238095,0.7857142857142857,0.7857142857142857,0.8571428571428571,0.7142857142857143,0.8571428571428571,0.7857142857142858,0.8299319727891156,el,Greek,anova,"ANOVA f_classif, ranked by f_score",,,
language_el_all_rich,all_universal,50,50,rf,n200,0.7857142857142857,0.75,0.7543859649122806,0.8571428571428571,0.6428571428571429,0.8275862068965517,0.8877551020408163,0.945447810269775,el,Greek,anova,"ANOVA f_classif, ranked by f_score",,,
language_el_all_rich,all_universal,100,100,lr,c1,0.7857142857142857,0.8392857142857143,0.7826336975273145,0.6785714285714286,1.0,1.0,0.8852040816326531,0.9505922160425264,el,Greek,anova,"ANOVA f_classif, ranked by f_score",,,
language_el_all_rich,all_universal,20,20,rf,n200,0.7857142857142857,0.7321428571428572,0.7437288135593221,0.8928571428571429,0.5714285714285714,0.8064516129032258,0.8762755102040816,0.9382354594919404,el,Greek,anova,"ANOVA f_classif, ranked by f_score",,,
language_el_all_rich,all_universal,10,10,svm,rbf_c1,0.7857142857142857,0.8035714285714286,0.7754010695187166,0.75,0.8571428571428571,0.9130434782608696,0.8647959183673469,0.9298694922969436,el,Greek,anova,"ANOVA f_classif, ranked by f_score",,,
