feature_set,language_code,language,seed,ranking_method,top_k,num_features,pool_features,usable_features,welch_bonferroni_significant_features,test_rows,test_groups,model_family,accuracy,best_params,cv_accuracy
extended_excluding_task_specific,es,Spanish,45,anova,20,20,382,83,6,54,25,LR,0.7777777777777778,{'clf__C': 10},0.6770390070921986
extended_excluding_task_specific,es,Spanish,45,anova,50,50,382,83,6,54,25,RF,0.7962962962962963,{'clf__n_estimators': 100},0.7018617021276595
extended_excluding_task_specific,es,Spanish,45,anova,100,83,382,83,6,54,25,RF,0.7592592592592593,{'clf__n_estimators': 100},0.6679964539007093
extended_excluding_task_specific,es,Spanish,45,anova,all,83,382,83,6,54,25,LR,0.7407407407407407,{'clf__C': 0.1},0.7105496453900708
extended_excluding_task_specific,es,Spanish,45,welch_bonferroni,5,5,382,83,6,54,25,RF,0.7962962962962963,{'clf__n_estimators': 50},0.6891843971631205
extended_excluding_task_specific,es,Spanish,45,welch_bonferroni,10,10,382,83,6,54,25,DT,0.7592592592592593,{'clf__max_depth': 20},0.676595744680851
extended_excluding_task_specific,es,Spanish,45,welch_bonferroni,20,20,382,83,6,54,25,LR,0.7592592592592593,{'clf__C': 10},0.6852836879432622
extended_excluding_task_specific,es,Spanish,45,welch_bonferroni,50,50,382,83,6,54,25,RF,0.8148148148148148,{'clf__n_estimators': 100},0.6847517730496454
extended_excluding_task_specific,es,Spanish,45,welch_bonferroni,100,83,382,83,6,54,25,LR,0.7407407407407407,{'clf__C': 0.1},0.7105496453900708
extended_excluding_task_specific,es,Spanish,45,welch_bonferroni,all,83,382,83,6,54,25,LR,0.7407407407407407,{'clf__C': 0.1},0.7105496453900708
extended_excluding_task_specific,zh,Chinese,45,anova,5,5,382,206,50,86,45,RF,0.7558139534883721,{'clf__n_estimators': 200},0.6684909456740443
extended_excluding_task_specific,zh,Chinese,45,anova,10,10,382,206,50,86,45,RF,0.7558139534883721,{'clf__n_estimators': 50},0.65420523138833
extended_excluding_task_specific,zh,Chinese,45,anova,20,20,382,206,50,86,45,RF,0.7906976744186046,{'clf__n_estimators': 200},0.6599195171026156
extended_excluding_task_specific,zh,Chinese,45,anova,50,50,382,206,50,86,45,RF,0.8604651162790697,{'clf__n_estimators': 200},0.6712273641851106
extended_excluding_task_specific,zh,Chinese,45,anova,100,100,382,206,50,86,45,RF,0.8488372093023255,{'clf__n_estimators': 50},0.6686116700201208
extended_excluding_task_specific,zh,Chinese,45,anova,all,206,382,206,50,86,45,RF,0.8604651162790697,{'clf__n_estimators': 100},0.6713883299798793
extended_excluding_task_specific,zh,Chinese,45,welch_bonferroni,5,5,382,206,50,86,45,RF,0.7674418604651163,{'clf__n_estimators': 100},0.6741649899396378
extended_excluding_task_specific,zh,Chinese,45,welch_bonferroni,10,10,382,206,50,86,45,DT,0.7441860465116279,{'clf__max_depth': 20},0.6627766599597585
extended_excluding_task_specific,zh,Chinese,45,welch_bonferroni,20,20,382,206,50,86,45,DT,0.8023255813953488,{'clf__max_depth': 20},0.6342857142857143
extended_excluding_task_specific,zh,Chinese,45,welch_bonferroni,50,50,382,206,50,86,45,RF,0.8372093023255814,{'clf__n_estimators': 50},0.6714285714285714
