feature_name,feature_group,task_specific,valid_task_types,requires_text,requires_audio,language_dependent_tooling,description
ac_f0_std,ac,False,ALL,0,1,0,ac f0 std
ac_mfcc_1_mean,ac,False,ALL,0,1,0,ac mfcc 1 mean
ac_mfcc_1_std,ac,False,ALL,0,1,0,ac mfcc 1 std
ac_mfcc_2_mean,ac,False,ALL,0,1,0,ac mfcc 2 mean
ac_mfcc_2_std,ac,False,ALL,0,1,0,ac mfcc 2 std
ac_mfcc_3_mean,ac,False,ALL,0,1,0,ac mfcc 3 mean
ac_mfcc_3_std,ac,False,ALL,0,1,0,ac mfcc 3 std
ac_mfcc_4_mean,ac,False,ALL,0,1,0,ac mfcc 4 mean
ac_mfcc_4_std,ac,False,ALL,0,1,0,ac mfcc 4 std
ac_mfcc_5_mean,ac,False,ALL,0,1,0,ac mfcc 5 mean
ac_mfcc_5_std,ac,False,ALL,0,1,0,ac mfcc 5 std
pause_short_count,pause,False,ALL,1,1,0,pause short count
pause_medium_count,pause,False,ALL,1,1,0,pause medium count
pause_long_count,pause,False,ALL,1,1,0,pause long count
pause_total_duration,pause,False,ALL,1,1,0,pause total duration
pause_mean_duration,pause,False,ALL,1,1,0,pause mean duration
pause_median_duration,pause,False,ALL,1,1,0,pause median duration
pause_std_duration,pause,False,ALL,1,1,0,pause std duration
pause_iqr_duration,pause,False,ALL,1,1,0,pause iqr duration
len_audio_duration,len,False,ALL,1,1,0,len audio duration
len_speech_duration,len,False,ALL,1,1,0,len speech duration
pause_silence_ratio,pause,False,ALL,1,1,0,pause silence ratio
pause_speaking_to_total_ratio,pause,False,ALL,1,1,0,pause speaking to total ratio
len_tokens_per_second,len,False,ALL,1,0,0,len tokens per second
len_syllables_per_second,len,False,ALL,1,0,0,len syllables per second
pause_pause_to_word_ratio,pause,False,ALL,1,1,0,pause pause to word ratio
pause_long_ratio,pause,False,ALL,1,1,0,pause long ratio
pause_to_speech_ratio,pause,False,ALL,1,1,0,pause to speech ratio
pause_speech_rate_words_per_second,pause,False,ALL,1,1,0,pause speech rate words per second
pause_articulation_rate_words_per_speaking_second,pause,False,ALL,1,1,0,pause articulation rate words per speaking second
