Loading manifest and rich feature table
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=all model=rf:n200 bal_acc=0.651 auroc=0.832
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=all model=svm:linear_c1 bal_acc=0.722 auroc=0.773
benchmark_wide_rich: subset=text_plus_pause_plus_acoustic top_k=all model=svm:rbf_c1 bal_acc=0.664 auroc=0.787
Running pd_ctp_pooled_rich: rows=2342 groups=1971 classes={0.0: 1691, 1.0: 651}
pd_ctp_pooled_rich: train rows/groups=1867/1576 test rows/groups=475/395
pd_ctp_pooled_rich: subset=all_universal top_k=5 model=lr:c1 bal_acc=0.700 auroc=0.738
pd_ctp_pooled_rich: subset=all_universal top_k=5 model=dt:depth20 bal_acc=0.687 auroc=0.682
pd_ctp_pooled_rich: subset=all_universal top_k=5 model=rf:n200 bal_acc=0.711 auroc=0.762
pd_ctp_pooled_rich: subset=all_universal top_k=5 model=svm:linear_c1 bal_acc=0.699 auroc=0.727
pd_ctp_pooled_rich: subset=all_universal top_k=5 model=svm:rbf_c1 bal_acc=0.684 auroc=0.720
pd_ctp_pooled_rich: subset=all_universal top_k=10 model=lr:c1 bal_acc=0.706 auroc=0.762
pd_ctp_pooled_rich: subset=all_universal top_k=10 model=dt:depth20 bal_acc=0.697 auroc=0.727
pd_ctp_pooled_rich: subset=all_universal top_k=10 model=rf:n200 bal_acc=0.705 auroc=0.781
pd_ctp_pooled_rich: subset=all_universal top_k=10 model=svm:linear_c1 bal_acc=0.686 auroc=0.738
pd_ctp_pooled_rich: subset=all_universal top_k=10 model=svm:rbf_c1 bal_acc=0.681 auroc=0.741
